AU, BestFeatures, BestF1Val, F1Test, NumPositives, PosRatio
Lip Corner Puller, XYFeatureExtraction, 0.37040400770268067, 0.4314262254221419, 6454, 0.11100409342643872
Outer Brow Raiser, EuclideanDistanceExtraction, 0.3912515328472835, 0, 2712, 0.04664442227649548
Lip Corner Depressor, XYFeatureExtraction, 0.02243587863658741, 0, 350, 0.006019744762822056
Upper Lid Raiser, InterpolationFeatureExtraction, 0.3942506946438815, 0, 166, 0.0028550789446527467
Inner Brow Raiser, EuclideanDistanceExtraction, 0.20048892556835504, 0.08432731482796962, 3522, 0.06057583158474081
Cheek Raiser, XYFeatureExtraction, 0.2769337740552781, 0.1801118749787656, 5870, 0.10095971930790135
Lips Part, CenterDistanceExtraction, 0.6564614974805922, 0.5753163989360824, 12516, 0.21526607271851672
Brow Lowerer, EuclideanDistanceExtraction, 0.162988078190513, 0.1995132867740814, 7804, 0.13422310894018094
Chin Raiser, CenterDistanceExtraction, 0.19145813951900617, 0.030291335383901104, 2104, 0.03618726565993602
Nose Wrinkler, EuclideanDistanceExtraction, 0.24185078732107876, 0.029940768796841002, 3432, 0.059027897217157996
